depth_mm,age_AD,d18O,d13C
119.5,-147.91,-3.88,-6.21
120,-159.81,-4.02,-6.76
120.5,-171.87,-3.73,-6.5
121,-184.01,-4.14,-6.9
121.5,-196.14,-4.26,-6.79
122,-208.15,-4.16,-6.56
122.5,-219.95,-4.01,-6.44
123,-231.53,-4.15,-6.69
123.5,-242.95,-4.06,-7.14
124,-254.24,-3.69,-6.75
124.5,-265.48,-4.18,-7.35
125,-276.69,-4.06,-7.35
125.5,-287.89,-3.95,-7.3
126,-299.13,-4.32,-7.45
126.5,-310.41,-4.4,-7.2
127,-321.73,-3.96,-6.77
127.5,-333.09,-3.65,-5.78
128,-344.45,-3.75,-5.85
128.5,-355.81,-3.85,-5.96
129,-367.15,-3.88,-5.8
129.5,-378.5,-3.88,-5.95
130,-389.85,-3.9,-6.19
130.5,-401.21,-3.96,-6.2
131,-412.59,-3.87,-6.11
131.5,-423.96,-3.77,-6.19
132,-435.3,-3.87,-6.17
132.5,-446.59,-4.06,-6.29
133,-457.85,-3.99,-6.07
133.5,-469.07,-3.97,-6.19
134,-480.29,-3.92,-5.94
134.5,-491.51,-3.74,-5.59
135,-502.75,-3.57,-5.17
135.5,-514,-3.75,-4.98
136,-525.26,-3.78,-5.09
136.5,-536.52,-3.76,-5.44
137,-547.79,-3.63,-5.32
137.5,-559.07,-3.67,-5.38
138,-570.36,-3.76,-5.65
138.5,-581.66,-3.89,-5.87
139,-592.97,-3.79,-5.66
139.5,-604.25,-3.82,-5.55
140,-615.47,-4,-5.43
140.5,-626.61,-3.87,-4.59
141,-637.67,-3.95,-4.68
141.5,-648.7,-3.76,-4.65
142,-659.73,-3.94,-5.71
142.5,-670.8,-3.66,-4.43
143,-681.89,-3.64,-4.06
143.5,-692.97,-3.76,-4.77
144,-703.98,-3.81,-5.27
144.5,-714.89,-3.94,-5.41
145,-725.69,-3.73,-5.52
145.5,-736.42,-3.89,-5.47
146,-747.12,-3.92,-5.25
146.5,-757.82,-3.75,-4.85
147,-768.54,-3.61,-5.34
147.5,-779.32,-3.6,-5.28
148,-790.17,-3.54,-5.81
148.5,-801.1,-3.4,-5.39
149,-812.13,-3.31,-5.2
149.5,-823.21,-3.43,-5.57
150,-834.34,-3.71,-4.71
150.5,-845.48,-3.61,-5.04
151,-856.62,-3.76,-5.23
151.5,-867.74,-3.51,-4.75
152,-878.81,-3.65,-4.81
